sample_id,condition,timepoint,replicate
HCd120_1,HC,d120,1
HCd120_2,HC,d120,2
HCd120_3,HC,d120,3
HCd60_1,HC,d60,1
HCd60_2,HC,d60,2
HCd60_3,HC,d60,3
HCd90_1,HC,d90,1
HCd90_2,HC,d90,2
HCd90_3,HC,d90,3
PDd120_1,PD,d120,1
PDd120_2,PD,d120,2
PDd120_3,PD,d120,3
PDd60_1,PD,d60,1
PDd60_2,PD,d60,2
PDd60_3,PD,d60,3
PDd90_1,PD,d90,1
PDd90_2,PD,d90,2
PDd90_3,PD,d90,3
PSPd120_1,PS,Pd120,1
PSPd120_2,PS,Pd120,2
PSPd120_3,PS,Pd120,3
PSPd60_1,PS,Pd60,1
PSPd60_2,PS,Pd60,2
PSPd60_3,PS,Pd60,3
PSPd90_1,PS,Pd90,1
PSPd90_2,PS,Pd90,2
PSPd90_3,PS,Pd90,3
